"Orateur","Parti","Objet","Date","Texte"
"M. Francis Krähenbühl","LR-LC","25.162","Septembre 2025","La tendance à repousser l'apprentissage, voire l'abandon pur et simple du français à l'école en Suisse alémanique mérite qu'on y prête la plus grande attention. Il s'agit d'une erreur à la fois pédagogique et civique. Premièrement, la maîtrise précoce d'une des langues nationales favorise la mobilité et la compréhension mutuelle. Des enfants qui apprennent le français dès la cinquième année acquièrent non seulement des compétences linguistiques, mais aussi une ouverture culturelle qui facilite les échanges interrégionaux, les collaborations économiques plus tard, et la mobilité professionnelle future. Retarder cet apprentissage affaiblit ces acquis précoces et réduit les possibilités d'échange entre les différentes régions. Deuxièmement, la cohésion nationale n'est pas un concept abstrait. Elle se construit dans les écoles, dans les classes, par le contact quotidien avec la langue et la culture de l'autre. Un recul de l'enseignement du français creusera le fossé entre Suisse romande et Suisse alémanique et accroîtra les malentendus et les coûts de coordination entre cantons. À terme, cela nuit à l'efficacité du marché du travail et aux échanges institutionnels. Troisièmement, nous reconnaissons pleinement les préoccupations pédagogiques qui sont soulevées : charge des élèves, qualité de l'enseignement, disponibilité d'enseignants qualifiés. Mais la réponse aux problèmes pédagogiques doit être de nature constructive et ciblée, non pas l'abandon. Il existe des solutions opérationnelles : renforcer la formation continue des enseignants, réduire les effectifs dans les classes de langue, développer des ressources didactiques modernes et multiplier les programmes d'échange et d'immersion à brève durée entre les cantons. Enfin, nous demandons à ce que le parlement de Zurich et les autres parlements concernés reconsidèrent leurs décisions à la lumière des conséquences à moyen et long terme pour la cohésion nationale. Nous proposons d'ouvrir sans tarder un dialogue constructif entre cantons, auquel le canton de Neuchâtel se dit prêt à contribuer activement. Mesdames et Messieurs, il ne s'agit pas ici d'une querelle de clochers, il s'agit d'un choix de société. Souhaitons-nous laisser s'installer des fractures supplémentaires entre régions ou voulons-nous, au contraire, investir dès l'école primaire dans des outils concrets qui favorisent l'entente et la mobilité entre nos populations ? Nous considérons que le choix de renforcer l'enseignement précoce des langues nationales est un investissement dans l'avenir de la Suisse, comme l'avait déjà relevé le Conseil d'État dans sa réponse à une question du député Hugo Clémence en mai dernier."
"Le président","Présidence","25.162","Septembre 2025","La parole est aux groupes."
"M. Evan Finger","UDC","25.162","Septembre 2025","Nous aurions pu faire simple et dire que nous sommes entièrement d'accord avec les propos de notre préopinant, ce qui est vrai, mais une partie de notre groupe, dont nous-même, avons une opposition sur la forme et pas sur le fond de cet objet. En effet, il n'appartient pas à un parlement cantonal de se mêler des affaires d'un autre canton souverain. Par analogie, faudrait-il considérer que les cantons contributeurs à la péréquation financière intercantonale sont légitimés à adresser des résolutions au canton de Neuchâtel sur la manière de gérer notre propre finance ? Prenons simplement l'exemple de Zurich, qui verse 419 millions de francs en 2025, et Neuchâtel, qui en touche 322. Une telle logique, si elle était faite dans le canton de Zurich, nous Séance du 2 septembre 2025, 13h30 semblerait inacceptable à Neuchâtel. Eh bien, nous suivons la même aujourd'hui sur les questions de l'enseignement. De plus, avant de donner des leçons à d'autres, il conviendrait de balayer devant notre porte. Chacun sait que le niveau d'allemand des élèves neuchâtelois n'est pas glorieux. Au vu de la réponse du Conseil d'État d'il y a quelques heures, sur la question du trop faible niveau d'orthographe en français des élèves, nous pensons que cette réflexion pourrait être étendue déjà au niveau du français des élèves neuchâtelois. Nous ferions donc mieux de nous concentrer sur l'amélioration de notre enseignement plutôt que de pointer du doigt les choix pédagogiques de nos voisins. Nous avons déjà énormément à faire dans notre canton, il serait donc de bon ton que notre parlement prenne le temps et commence à se mêler de ses propres affaires. Pour finir sur une touche plus légère, nous allons nous mettre dans la peau d'un député zurichois qui, s'il s'intéresse dans un premier temps à la résolution – ce dont nous doutons vu l'impact d'un tel objet –, mais surtout à nos débats, serait tout inspiré d'adresser à Neuchâtel une résolution sur la gestion de ses finances publiques. C'est pour toutes ces raisons, Mesdames et Messieurs, qu'une partie de l'UDC refusera cet objet et que l'autre partie s'abstiendra."
"Mme Sarah Blum","VertPOP","25.162","Septembre 2025","Herr Präsident, sehr geehrte Damen und Herren… Bon, nous nous arrêtons là avec l'allemand, non par manque de vocabulaire – enfin, nous n'espérons pas –, ni par manque d'envie de cohésion nationale, mais parce que nous avons aujourd'hui un léger esprit revanchard avec nos collègues zurichois. Tout d'abord, nous annonçons enseigner l'allemand dans une école du canton de Neuchâtel, et nous en profitons pour formuler un vœu clair : ne pas rouvrir tout de suite les débats sur la récusation des députés. Bref, c'est parce que nous sommes quotidiennement confrontée à l'importance de la langue, de l'ouverture culturelle et du dialogue entre régions que nous sommes particulièrement préoccupée par la décision prise à Zurich de reporter l'enseignement du français. Mais ce constat dépasse largement notre expérience professionnelle, il est partagé et porté par le groupe VertPOP, qui considère que cette décision n'est pas anodine. Elle touche en effet à la cohésion de notre pays, à l'égalité des chances pour nos élèves et à la confiance mutuelle entre nos régions linguistiques, comme le relève déjà la résolution qui nous est soumise aujourd'hui. Nous souhaitons en outre rappeler qu'un tel report accentuerait les inégalités sociales : ce sont surtout les enfants issus des familles favorisées, capables de financer des cours privés ou des séjours linguistiques, qui pourraient réellement progresser. Les recherches en sciences de l'éducation montrent également qu'un apprentissage précoce d'une langue étrangère favorise la prononciation, la fluidité et la motivation. Reculer cet enseignement au secondaire, c'est rendre l'apprentissage plus difficile, moins naturel et souvent moins plaisant pour les élèves. Enfin, au-delà des questions pédagogiques, il en va de notre responsabilité politique de maintenir le lien entre les régions. Chaque recul du français en Suisse alémanique fragilise ce pacte linguistique qui est au cœur de notre fédéralisme. L'enseignement des langues nationales ne peut pas être considéré comme une simple variable d'ajustement, mais bien comme un pilier de notre vivre-ensemble. Vous l'aurez compris, notre groupe soutient cette résolution et vous invite à faire de même. Le plurilinguisme n'est pas un luxe pédagogique. Et même si ce n'est qu'une résolution, si plusieurs cantons portent ce message, il finira peut-être par être entendu."
"Mme Marinette Matthey","S","25.162","Septembre 2025","Le groupe socialiste soutiendra cette résolution, en grande partie parce que les arguments qui sont mis en avant par les députés zurichois qui ont voté ce projet est de dire que le français est tellement difficile qu'on ne peut pas l'apprendre à l'école primaire. C'est un argument qui ne tient pas tellement la route par rapport aux études scientifiques sur l'acquisition des langues. Après, il faut peut-être aussi nuancer en disant – là, nous allons enfreindre un tabou – que les Suisses ne se sont jamais aussi bien compris, les jeunes Suisses, depuis qu'ils parlent tous l'anglais. Mais cela, on n'ose pas le dire, parce que cela remet en question le roman national suisse qui dit que les Suisses s'entendent bien parce que chacun parle sa langue et comprend la langue de l'autre, principe qui a été remis en question de manière rigolote par le conseiller fédéral Georges- André Chevallaz, il y a une cinquantaine d'années, qui disait que les Suisses s'entendent bien parce qu'ils ne se comprennent pas. Le problème n'est donc pas au niveau de la fonctionnalité, parce que Séance du 2 septembre 2025, 13h30 pour fonctionner et communiquer, on peut toujours le faire en anglais, mais c'est bien au niveau symbolique. En fait, cette décision de Zurich sert à montrer qu'il y a une majorité linguistique dans ce pays, et que contrairement à ce que tous les discours de la Confédération tendent à faire croire, que le plurilinguisme est une richesse et que tout le monde y trouve son compte, non, il y a une majorité linguistique qui impose ses besoins. Et c'est vrai que pour un Zurichois, c'est peut-être plus important d'apprendre l'anglais d'abord que le français, alors que pour nous, les Romands, c'est plus important d'apprendre l'allemand d'abord parce qu'on est une minorité et que si on veut compter sur le plan national, il faut savoir l'allemand. C'est donc quelque chose d'hypocrite dans cette résolution de dire que c'est un problème purement pédagogique. Il faut donc vraiment la prendre au niveau symbolique, et, au niveau symbolique, il faut soutenir cette résolution. Nous espérons que tous les cantons romands le feront."
"M. Mauro Moruzzi","VL","25.162","Septembre 2025","Nous serons relativement bref. Le groupe Vert'Libéral, pour grand qu'il soit, sera très partagé sur cette résolution, et les voix discordantes se feront entendre dans le cadre du débat. Nous allons simplement résumer la chose en disant que dans les arguments qui viennent d'être exprimés, dans un sens ou dans l'autre, en fonction de ces sensibilités diverses, les uns et les autres voteront dans un sens ou dans l'autre."
"Le président","Présidence","25.162","Septembre 2025","La parole est au Conseil d'État."
"Mme Crystel Graf","Département de la formation et des finances","25.162","Septembre 2025","Quand même deux mots pour dire que le Conseil d'État partage entièrement les préoccupations de cette résolution. Vous pouvez voir sa position dans la réponse écrite à la question 25.350. Nous ne rêvons pas, pour notre part, d'un pays où on parle l'anglais à Berne. Mais malheureusement, depuis 2023, plusieurs cantons alémaniques – Thurgovie, Lucerne, Saint-Gall, Argovie – envisagent de repousser ou de supprimer l'enseignement au primaire – et maintenant Zurich –, alors même que les arguments en faveur de l'enseignement précoce des langues sont nombreux – ils ont été rappelés, nous n'y revenons pas –, et des projets comme PRIMA ou ANIMA à Neuchâtel ou les filières bilingues à Soleure l'ont démontré également. Fort de ces éléments, le Conseil d'État réaffirme son attachement à l'enseignement de l'allemand au primaire et, à ce titre, il s'engage actuellement au niveau intercantonal avec les cantons latins pour affirmer de manière coordonnée une position forte en faveur du maintien du français dans les plans d'études alémaniques. Il en va de la cohésion nationale et le Conseil d'État continuera à le faire, bien sûr, ces prochains mois."
"Le président","Présidence","25.162","Septembre 2025","Nous sommes dans un débat libre, la parole peut être demandée par tous les membres du Grand Conseil."
"M. Mauro Moruzzi","VL","25.162","Septembre 2025","Sehr geehrter Herr Präsident, geschätzte Kolleginnen und Kollegen, Geschätzte Kolleginnen und Kollegen, es freut mich ausserordentlich, dass so viele von uns, bereit sind, sich für die nationalen Sprachen und die Kohäsion unseres Landes zu engagieren. Ich tue das auch, bin aber der Meinung, dass wir hier mit diesem Vorstoss ziemlich daneben sind. Chères et chers collègues, nous ne doutons pas que l'écrasante majorité d'entre vous a parfaitement compris notre propos, et nous sommes absolument certain que ce n'est pas grâce à l'enseignement précoce de l'allemand que vous y êtes parvenus. À part nos collègues de langue maternelle allemande ou alémanique – oui, il y a une différence –, la plupart d'entre nous – pas les plus jeunes, il est vrai – ont appris l'allemand à l'école à partir de l'école secondaire et non de l'école primaire. Nous sommes ravi de l'existence dans notre canton du programme PRIMA, et nous félicitons toutes les enseignantes et tous les enseignants de notre canton qui organisent, avec le soutien de leurs écoles, par exemple, des échanges linguistiques avec des partenaires outre-Sarine. Mais nous connaissons aussi l'effort conséquent qui est imposé aux enseignantes et enseignants du primaire, qui doivent souvent commencer par se former elles-mêmes et eux-mêmes pour pouvoir enseigner, tant bien que mal, quelques heures d'allemand pour un résultat pour le moins mitigé. Dans les réactions auxquelles on assiste depuis hier par rapport à la décision du Grand Conseil zurichois, il est frappant de constater qu'elles émanent à peu près exclusivement de politiciens et d'organes de presse, et jamais des écoles, des élèves ou de leurs parents. Il est vrai que de taper Séance du 2 septembre 2025, 13h30 sur les Suisses allemands, surtout s'ils sont Zurichois, cela fédère souvent, surtout la Suisse romande, mais nous ne sommes pas sûr que cela favorise notre cohésion nationale. Sur le fond des choses, ne nous voilons pas la face, d'autres que nous l'ont déjà rappelé ici : le français est aussi populaire dans certaines régions alémaniques que l'allemand l'est dans notre partie du pays ; pas vraiment beaucoup, donc. Et oui, l'anglais est déjà devenu, depuis assez longtemps, la lingua franca dans beaucoup de domaines. Qu'il s'agisse des entreprises travaillant dans les différentes régions du pays, des institutions de recherche, des organismes privés, des professionnels du domaine de la santé ou d'autres, on se parle plus souvent en anglais que dans une langue nationale. Notre pays ne s'est pas écroulé, et il ne s'écroulera pas pour autant. Cette évolution est simplement allée de pair, chez nous comme ailleurs, avec la mondialisation, l'essor de l'internet et l'usage de l'anglais comme principal outil de communication. Et qu'on le veuille ou non, les Suissesses et les Suisses qui maîtrisent très mal, voire pas du tout les autres langues nationales sont légion. Est-ce que la cohésion nationale s'est écroulée pour autant ? Nous connaissons toutes et tous la réponse. Chères et chers collègues, que l'allemand – ou l'italien, qu'on oublie toujours dans cette discussion – reste obligatoire dans les dernières années de l'école obligatoire, c'est important, et nous nous opposerons radicalement à un changement dans ce domaine. Mais qu'on se permette de donner des leçons à un autre parlement cantonal pour une mesure qui, jusqu'à preuve du contraire, n'apporte vraiment pas grand-chose d'un point de vue linguistique, alourdit le fardeau de l'école primaire et ne va certainement pas faire vaciller notre coalition nationale, nous ne pouvons pas y souscrire. Choisissons nos combats et, de grâce, ne nous joignons pas au chœur des pleureuses. Nous n'en avons pas besoin et, sur la forme, nous n'en sortirions pas grandis. Nous vous invitons à réfléchir un instant à la question suivante, qui a déjà été posée par notre collègue du groupe UDC tout à l'heure : comment réagirait notre Conseil si un parlement alémanique se permettait de nous demander de lui rendre des comptes pour une décision qu'il a déjà prise, alors qu'il suffit de lire la presse, ou mieux, le procès-verbal de la séance du Grand Conseil zurichois pour connaître « les raisons de sa décision » ? Bon, il faut comprendre l'allemand pour y arriver. En conclusion, vous l'aurez compris, nous vous invitons à renoncer à une démarche à tout le moins inopportune. Ich danke Ihnen für die Aufmerksamkeit."
"Le président","Présidence","25.162","Septembre 2025","Il ne semble plus y avoir de demande de prise de parole. Nous allons donc procéder au vote. On passe au vote, à la majorité qualifiée des 2/3 des membres présents dans la salle. Présents : 100, majorité qualifiée des deux tiers : 67. Le projet de résolution est accepté par 73 voix contre 15 et 11 abstentions. INTERPELLATION DECS 24.183"
"Le président","Présidence","24.183","Septembre 2025","24.183 30 août 2024, 9h09 Interpellation des groupes UDC et libéral-radical Nuisances dans les transports publics commises par des requérants d’asile Le Conseil d’État peut-il nous renseigner sur le nombre réel de cas de nuisances, crimes et délits commis dans les transports publics neuchâtelois par des requérants d’asile ? Une enquête et récolte de témoignages a-t-elle été effectuée auprès des collaboratrices et des collaborateurs de transN œuvrant sur les lignes sensibles (Fleurier – Les Verrières, Boudry – Neuchâtel) ? Le renforcement de la sécurité a-t-il eu l’effet escompté ? Quels sont les coûts réels de sécurité imputables à ces nuisances dans les transports publics ? Comment se fait-il que des migrants déboutés et considérés comme « problématiques » installés au centre des Verrières (spécialisé en la matière) puissent se Séance du 2 septembre 2025, 13h30 déplacer librement et sans surveillance – y compris le soir – dans les transports publics et dans les rues ? Développement Sur certaines lignes, les transports publics sont de moins en moins sûrs, la faute à des fauteurs de troubles séjournant respectivement dans les centres d'asile de Boudry et des Verrières. De nombreux témoignages de citoyens excédés confirment cet état de fait, mais peu de cas aboutissent sur des plaintes, la population se sentant bien souvent peu entendue lorsqu'il s'agit de dénoncer des cas de nuisances. Plusieurs interventions sont passées sous silence, y compris dans les médias (comme la récente agression d'une commerçante de la gare par un requérant d'asile des Verrières armé d'un râteau). La situation est bien plus terne que celle qui semble être présentée officiellement et nous demandons des réponses claires. Premier signataire : Niels Rosselet-Christ. Autres signataires : Sloane Studer, Roxann Durini, Evan Finger, Quentin Geiser, Christiane Barbey, Daniel Berger, Damien Schär, Yann Mesot, Arnaud Durini, Hermann Frick, Damien Humbert-Droz, Didier Germain, Martial Robert-Nicoud, Francis Krähenbühl, Corinne Schaffner, Pascale Leutwiler, Alexis Maire, Quentin Di Meo, Edith Aubron Marullaz, Olivier Favre, Sophie Rohrer, Alain Rapin, Ludovic Kuntzer, Sarah Curty, Vincent Martinez, Blaise Courvoisier, Michel Zurbuchen, Cédric Haldimann, Armelle von Allmen Benoit, Stéphane Rosselet, Boris Keller. Le premier signataire ayant renoncé à développer l'interpellation le 18 février 2025, nous passons la parole au Conseil d'État."
"Mme Florence Nater","Département de l'économie et de la cohésion sociale","24.183","Septembre 2025","Nous réalisions effectivement que vous aviez déposé cet objet le 30 août 2024. Nous nous sommes demandé si c'était une petite erreur dans l'ordre du jour, mais non, c'était bien le 30 août 2024. Nous avons aussi eu aussi l'occasion, dans le cadre de l'examen des comptes 2024, de répondre à un certain nombre de questions concrètes en termes de chiffres, mais néanmoins, nous allons quand même évidemment répondre à votre interpellation. Vous nous demandez effectivement de renseigner sur le nombre de cas, si on a fait une enquête, une récolte de témoignages, donc toujours en lien évidemment avec la sécurité, notamment dans les transports publics, en lien avec le Centre fédéral de Boudry principalement. Comme nous avions eu l'occasion de le dire dans l'examen des comptes 2024, la sécurité dans les transports publics de manière générale, mais évidemment tout particulièrement en lien avec l'accueil du Centre fédéral à Boudry, est une préoccupation que nous partageons avec le service des transports (SCTR), le service des migrations (SMIG) et le Secrétariat d'État aux migrations (SEM). Nous avons, nous croyons, régulièrement pris en compte les préoccupations exprimées par les usagères et usagers, et prenons aussi également très au sérieux les incidents qui peuvent affecter leur quotidien. Et puis, nous pouvons vraiment vous confirmer que cette question de la sécurité dans les transports publics fait l'objet d'un suivi attentif et d'évolution des actions concrètes. Afin de garantir une vision précise de la situation, il y a plusieurs enquêtes qui ont été menées récemment : une enquête auprès des usagères et usagers qui a été réalisée en septembre-octobre 2024 par les entreprises de transport, et une enquête qui a été faite auprès des personnes qui sont hébergées dans le centre cantonal d'accueil de Perreux, qui a été menée en février 2025 par le SMIG. Ces données nous permettent d'évaluer relativement objectivement l'évolution du climat sécuritaire et d'adapter nos actions en conséquence. Les résultats montrent que nos efforts portent leurs fruits : sur la ligne 101, le sentiment de sécurité s'est amélioré sur l'ensemble de la journée ; sur la ligne 215, une situation plus contrastée avait été relevée avec une stabilité en journée, mais une détérioration du ressenti en soirée, notamment chez les femmes et les jeunes femmes, et, face à ce constat, nous avons immédiatement ajusté notre dispositif en renforçant les patrouilles aux heures les plus sensibles, en particulier en soirée. L'enquête auprès des personnes hébergées dans le centre cantonal de Perreux révèle que 85% des personnes ayant répondu n'ont pas rencontré de problèmes particuliers dans les transports. Toutefois, des incidents liés à des comportements d'ivresse, des nuisances sonores ou des attitudes déplacées ont été signalés par 15% des répondantes et répondants. Ces éléments, évidemment, nous confortent dans la nécessité de maintenir un dispositif de vigilance adapté. Séance du 2 septembre 2025, 13h30 Les patrouilles mises en place jouent avant tout un rôle dissuasif majeur. Leur présence seule permet, dans de nombreux cas, d'éviter que les incidents ne dégénèrent. Il est important de rappeler que ces agents de sécurité privée ne sont pas habilités à intervenir directement, en dehors justement de leurs actions axées plutôt sur la discussion, la désescalade et la prévention. Mais là aussi, on a renforcé la collaboration entre les patrouilles, les chauffeurs de bus et la police, afin de garantir une réaction rapide et efficace en cas de problème. Cette coordination permet d'une part une meilleure détection des situations à risque, grâce au signalement des patrouilles et des chauffeurs, une prise en charge efficace lorsque cela est nécessaire et un travail de prévention accru auprès des usagères et usagers et du personnel de transport. Nous avons évidemment poursuivi nos échanges avec le SEM, afin de maintenir un cofinancement des mesures de sécurité. D'ailleurs, l'ouvrage est toujours sur le métier, puisque, aujourd'hui, la Confédération s'est engagée jusqu'à la fin de l'année 2025, qui est à peu près l'échéance de la conférence sur l'asile. On espère évidemment continuer d'obtenir le soutien de la Confédération au-delà de la fin de l'année 2025. Et puis, malgré la réduction du soutien financier fédéral depuis juillet 2024, on a pu aussi réorganiser les ressources pour garantir une présence renforcée aux heures et sur les lignes les plus sensibles. Nous croyons que l'impact de ces mesures est perceptible. Les usagères et usagers reconnaissent l'utilité de ces patrouilles, en particulier en soirée, où leur présence contribue directement à leur sentiment de sécurité. Et puis, on continue là aussi les échanges avec le centre de Boudry, afin d'obtenir leur collaboration complémentaire dans la mise en place aussi de mesures de sensibilisation et de prévention contre les comportements incivils de manière générale. Nous terminerons en disant qu'il est aussi essentiel de rappeler que les incivilités dans les transports ne sont pas exclusivement liées aux demandeurs d'asile ou aux personnes migrantes. Il est crucial aussi d'éviter toute stigmatisation injuste et d'aborder cette question avec pragmatisme et responsabilité. Les retours du terrain montrent qu'il est souvent difficile d'attribuer ces incidents à une catégorie précise de personnes et que des problématiques similaires existent aussi sur d'autres lignes que celles qui concernent le centre de Boudry."
"Le président","Présidence","24.183","Septembre 2025","Nous passons la parole au premier signataire pour son indice de satisfaction."
"M. Niels Rosselet-Christ","UDC","24.183","Septembre 2025","Nous vous remercions, Madame la conseillère d'État, pour cette réponse très étayée. Globalement, nous sommes assez satisfaits par cette réponse qui apporte quand même de bons éclaircissements. Bien évidemment, nous rassurons, nous n'avons jamais dit que tous les cas étaient imputables à un certain type de personnes. Néanmoins, voilà, la statistique et l'expérience du terrain nous prouvent que pour certains cas, on peut quand même focaliser l'attention sur ces cas-là. Nous aimerions simplement rappeler que, comme vous l'avez si bien dit, Madame la conseillère d'État, ces mesures, on voit que sur le terrain, cela fonctionne, on voit qu'il y a moins d'insécurité, mais ne nous reposons pas sur nos lauriers parce qu'il y a encore beaucoup de boulot. Se pose la question des ressources humaines, matérielles et surtout financières. Vous l'avez dit, l'ouvrage est encore sur le métier. Rappelons quand même que la Confédération nous impose la présence de ces centres. Il serait quand même bien que la Confédération prenne ses responsabilités, pas seulement en déléguant le problème dans les cantons, mais aussi en finançant, peut-être même plus conséquemment encore que ce qu'ils font aujourd'hui. Nous rappellerons aussi, si on regarde un petit peu la carte de la répartition des centres d'asile en Suisse, qu'on voit que chez les Romands, ce n'est pas grave, parce qu'on met tout chez nous, et puis là-bas, on reste dans des paysages de carte postale sans problème. Tout cela pour dire qu'il est effectivement important de garder à l'esprit que le travail n'est pas fini. Nous vous remercions pour les efforts déjà engagés, mais nous veillons au grain pour que ces efforts ne se relâchent pas. Séance du 2 septembre 2025, 13h30 PROTECTION CONTRE LES CRUES 25.004"
"M. Niels Rosselet-Christ","UDC","25.004","Septembre 2025","PROTECTION CONTRE LES CRUES 25.004 DANGERS NATURELS GÉOLOGIQUES 25.005"
"M. Niels Rosselet-Christ","UDC","25.005","Septembre 2025","DANGERS NATURELS GÉOLOGIQUES 25.005 REVITALISATION DES EAUX 25.006"
"M. Niels Rosselet-Christ","UDC","25.006","Septembre 2025","REVITALISATION DES EAUX 25.006 Rapports du Conseil d'État au Grand Conseil à l'appui − d'un projet de décret portant octroi d'un crédit d'engagement de 3'800'000 francs pour la mise en œuvre de l'article 3 « Protection contre les crues » de la Loi fédérale sur l'aménagement des cours d'eau pour la période 2025-2028 − d'un projet de décret portant octroi d'un crédit d'engagement de 2'408'400 francs pour la mise en œuvre de l'article 36 « Protection contre les catastrophes naturelles » de la Loi fédérale sur les forêts pour la période 2025-2028 − d'un projet de décret portant octroi d'un crédit d'engagement de 2'417'000 francs pour la mise en œuvre de l'article 38a « Revitalisation des eaux » de la Loi fédérale sur la protection des eaux pour la période 2025-2028 (Du 12 février 2025) Propositions de la commission parlementaire Mme Armelle von Allmen Benoit occupe le siège de rapporteur. Débat d'entrée en matière"
"Le président","Présidence","25.006","Septembre 2025","Nous sommes dans un débat libre. La parole est à la rapporteure."
"Mme Armelle von Allmen Benoit","LR-LC","25.006","Septembre 2025","La commission Nature a examiné trois projets de décrets visant à accorder des crédits d'engagement pour la période 2025-2028. Il s'agit de 3'800'000 francs pour la protection contre les crues, 2'408'400 francs pour la protection contre les catastrophes naturelles et 2'417'000 francs pour la revitalisation des eaux. La commission a rencontré des représentants du département du développement territorial et de l'environnement (DDTE). Nous avons pu poser toutes nos questions sur ces trois dossiers. Une des principales interrogations – d'ailleurs, cela va revenir dans la discussion – est l'expropriation. Certains commissaires se sont inquiétés des articles sur l'expropriation pour cause d'utilité publique, mais le département les a rassurés en précisant que le Conseil d'État privilégiait les acquisitions à l'amiable et qu'aucune procédure d'expropriation n'avait eu lieu depuis une dizaine d'années. Concernant les causes des crues, le point central de la discussion a été le problème du ruissellement. Une partie de la commission a souligné l'importance de s'attaquer aux causes décrues, comme l'urbanisation et le manque de végétation, plutôt que de se limiter aux conséquences. Le département expliquait que le ruissellement était désormais pris en compte dans les infrastructures de protection et qu'une carte des dangers liés au ruissellement avait été établie et sera mise à jour. La commission a voté à l'unanimité pour proposer au Grand Conseil d'entrer en matière sur les trois projets de décrets. Elle propose également de les accepter avec un vote unanime pour les projets de décrets sur la protection contre les crues et les dangers naturels, et un vote de 12 voix pour et une abstention pour celui sur la revitalisation des eaux. Séance du 2 septembre 2025, 13h30"
"Le président","Présidence","25.006","Septembre 2025","La parole est aux groupes."
"Mme Diane Skartsounis","VertPOP","25.006","Septembre 2025","Nous remercions le Conseil d'État et ses services pour ces trois rapports très intéressants et pour ses négociations réussies avec la Confédération, qui, nous l'espérons, ne coupera pas dans sa part de financements annoncée. Notre groupe salue les efforts du canton pour avoir insufflé une dynamique indispensable à la réalisation de tous ces travaux d'intérêt public, à la base portés par les communes, mais souvent laissés sous la pile des affaires à traiter par manque de soutien et de moyens. Les communes apprécient d'ailleurs énormément cette prise en charge par le canton et ses services. Le constat quand on parle de nature est toujours le même ces derniers temps, et ce ne sont pas Blatten ou Festi'neuch qui diront le contraire : le changement climatique est bien là, avec son lot de catastrophes qui se multiplient à notre grand dam. En effet, avec la hausse des quantités d'eau qui tombent depuis quelques années, notamment au printemps, et les orages de plus en plus violents, crues, chutes de pierres et glissements de terrain pourront vite devenir cataclysmiques si on n'effectue pas ces travaux préventifs. Le rythme devrait sûrement en être plus soutenu, car prévenir coûte toujours moins que guérir et seul l'avenir nous dira s'il a été fait le nécessaire et assez vite. On constate clairement aujourd'hui que le tout-bétonné ne fonctionne pas. La nature a besoin d'espace et elle nous le rend bien en nous protégeant bien plus efficacement. On peut penser aux forêts protectrices contre certains dangers gravitaires ou la suppression des canaux qui enserrent les rivières pour leur rendre la possibilité de s'étaler quand le besoin s'en fait sentir. Le traitement de la problématique du ruissellement est le seul bémol à ces rapports dont on ne cherche à régler que les effets et très peu les causes. Une séance de la commission Nature a été agendée pour reprendre ce sujet. Le groupe VertPOP, vous l'avez compris, acceptera à l'unanimité ces trois crédits et s'opposera aux deux amendements qui suppriment deux articles concernant l'expropriation lors de la revitalisation de cours d'eau ou de rives des lacs. On entend peu d'opposition de ce groupe lorsqu'on parle d'expropriation lors de la création ou de l'élargissement de routes. Par contre, cela pose problème quand il s'agit de la nature, alors que cela contribue clairement à la protection de la population et à celle du vivant en général."
"M. Quentin Geiser","UDC","25.006","Septembre 2025","Trois projets, dont deux liés à la sécurité. Le projet de protection contre les crues et celui des dangers naturels n'ont pas suscité de débats au sein de notre groupe, et, compte tenu des événements que nous avons vécus ces dernières années, nous les accepterons. En revanche, le projet de revitalisation des eaux a suscité des débats, non pas sur le fond, mais sur la forme, notamment sur les articles liés à l'expropriation. Notre groupe a déposé un amendement, car nous ne voyons pas la nécessité de maintenir les articles sur l'expropriation, étant donné qu'il n'y a pas de critères liés à la sécurité et qu'il n'y a pas d'urgence. À notre sens, sur cet objet, les articles liés à l'expropriation ne sont pas justifiés. Nous devons respecter les droits des propriétaires. Enfin, selon nos informations, il y a eu une séance d'information avec les propriétaires fonciers des Ponts-de-Martel concernant le Bied de Vent avec la présentation d'un plan, plan qui, apparemment, ne correspond pas au plan que nous avons en page 5 du rapport du Conseil d'État. Le Conseil d'État peut-il nous donner une explication ? Notre groupe acceptera cet objet uniquement s'il est amendé, autrement nous le refuserons."
